"id","name","unitLastWord","unitSeqLast","word","docTokenSeqFirst","docTokenSeqLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom","haveBridges","remarks"
"FSRVee2Ax44","se ra'i gsham","_H_ སེ་ར འི་ གཤམ་ ལ་ ཡོད་ རེད །",581,"སེ་ར འི་ གཤམ་ ལ་",2709,2712,FALSE,"i",FALSE,FALSE,"COPLOC",FALSE,FALSE,FALSE,5,FALSE,FALSE,NA
"zJHuKMwkCsl","'jag ma gling ka","ལྟ་ དེ་བ་ དེ་ ཡང་ འདུག་ ག",588,"དེ་བ་",2739,2739,FALSE,"i",TRUE,FALSE,"COPLOC",FALSE,FALSE,FALSE,2,TRUE,FALSE,NA
"B02UJakcaQD","sger gyi khang pa","ལྟ་ དེ་བ་ དེ་ ཡང་ འདུག་ ག",588,"དེ་ ཡང་",2740,2741,FALSE,"i",FALSE,FALSE,"EXIST",FALSE,FALSE,FALSE,2,TRUE,FALSE,NA
"0ZZINs4VdgL","bslab grags","ཁོང་ ཚོ་ བསླབ་གྲགས་ ཡིན་པ་ འདི་འདྲས་",599,"ཁོང་ ཚོ་ བསླབ་གྲགས་ ཡིན་པ་ འདི་འདྲས་",2775,2779,FALSE,"i",FALSE,FALSE,"A",TRUE,FALSE,FALSE,8,FALSE,FALSE,NA
"hojfoxfBrPD","khang pa (staff's)","ཁང་པ་ མ་བར་ ཉོས་ ཤག",600,"ཁང་པ་",2780,2780,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,2,FALSE,FALSE,NA
"R2ycswGTR6W","rgan lags","##### #ང་ #འདི་འདྲས་ #ག་རེ་ #རེད་ #ཟེར་ #ན་",609,"#ང་",2809,2809,TRUE,"i",FALSE,FALSE,"A",TRUE,TRUE,FALSE,1,TRUE,FALSE,NA
"Net6GAm4RlU","dge rgan","ཁོ་ རང་ ཐུགས་ བྱུང་ ང་ །",612,"ཁོ་ རང་",2819,2820,FALSE,"i",FALSE,FALSE,"P",TRUE,FALSE,FALSE,2,TRUE,FALSE,NA
"HOMeKWSrsho","nga tsho'i nang","ང་ ཚོ འི་ ནང་ དེ་",643,"ང་ ཚོ འི་ ནང་ དེ་",2931,2935,FALSE,"i",TRUE,FALSE,"COPS",FALSE,FALSE,FALSE,5,FALSE,FALSE,NA
"EiuB720jBz7","gtsnag po'i kha la","གཙང་པོ འི་ ཁ་ ལ་ རེད །",644,"གཙང་པོ འི་ ཁ་ ལ་",2936,2939,FALSE,"i",FALSE,FALSE,"PRED",FALSE,FALSE,FALSE,5,FALSE,TRUE,NA
"rmUG5bsoTXz","shar btsugs rta pho'i tshur snang ngogs","ཤར་བཙུགས་ རྟ་ཕོ་ ཟེར་བ་ དེ འི་ ཚུར་ སྣང་ངོགས་ དེ ར །",645,"ཤར་བཙུགས་ རྟ་ཕོ་ ཟེར་བ་ དེ འི་ ཚུར་ སྣང་ངོགས་ དེ ར",2942,2950,FALSE,"i",FALSE,FALSE,"COPLOC",FALSE,FALSE,FALSE,12,FALSE,FALSE,NA
"4cIDhJ8fvgQ","lcags ri dmar po","ལྕགས་རི་ དམར་པོ་ ཞིག་ མི་ འདུག་ གས །",646,"ལྕགས་རི་ དམར་པོ་ ཞིག་",2952,2954,FALSE,"n",FALSE,FALSE,"EXIST",FALSE,FALSE,FALSE,5,FALSE,FALSE,NA
"3Q7ExWzCnBq","near lcags ri dmar po","འོ་ འདི འི་ བརྒྱུད་ དེ་ ལ་ ང་ ཚོ འི་ ནང་ ཡོད་ རེད །",648,"འདི འི་ བརྒྱུད་ དེ་ ལ་",2965,2969,FALSE,"i",FALSE,FALSE,"COPLOC",FALSE,FALSE,FALSE,5,FALSE,TRUE,NA
"MrOQW9OZUt6","nga tsho'i nang","འོ་ འདི འི་ བརྒྱུད་ དེ་ ལ་ ང་ ཚོ འི་ ནང་ ཡོད་ རེད །",648,"ང་ ཚོ འི་ ནང་",2970,2973,FALSE,"i",FALSE,FALSE,"EXIST",FALSE,FALSE,FALSE,4,FALSE,FALSE,NA
"rPneBfMTy2T","nga tsho'i nang","ང་ ཚོ འི་ ཁང་པ་ དེ་ རེད །",654,"ང་ ཚོ འི་ ཁང་པ་",2998,3001,FALSE,"i",TRUE,FALSE,"COPS",FALSE,FALSE,FALSE,5,FALSE,FALSE,NA
"iEhlqrxczSE","nyal chas kam pa li gi khyad par yod","ང་ ཚོ འི་ ཁང་པ་ དེ་ རེད །",654,"དེ་",3002,3002,FALSE,"i",FALSE,FALSE,"PRED",FALSE,FALSE,FALSE,1,TRUE,FALSE,NA
"qWI6tTZ9iuQ","spyi tshogs rnying pa","སྤྱི་ཚོགས་ རྙིང་པ འི་ སྒང་ ལ་",665,"སྤྱི་ཚོགས་ རྙིང་པ འི་ སྒང་ ལ་",3046,3050,FALSE,"i",FALSE,FALSE,"COPLOC",FALSE,FALSE,FALSE,7,FALSE,FALSE,NA
